Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default
739,Rent,,10+ years,0,8,7,610500,0,,0,debt consolidation,Long Term,646866,316863,31952,,0
740,Home Mortgage,2506917,10+ years,0,16,21.4,1720620,0,,0,small business,Short Term,99999999,1124895,37604,712,0
741,Home Mortgage,771932,1 year,0,17,20.8,739970,0,23,0,other,Short Term,67034,432649,14731,698,0
742,Rent,1212276,2 years,0,9,15,520652,0,37,0,debt consolidation,Long Term,401676,281941,28792,689,1
743,Home Mortgage,,2 years,0,9,20.1,203984,0,23,0,debt consolidation,Short Term,177276,127376,15507,,0
744,Home Mortgage,,10+ years,0,14,21.8,1210726,0,,0,debt consolidation,Long Term,646800,617956,28023,,1
745,Rent,957562,10+ years,0,9,22.1,450626,1,78,1,debt consolidation,Short Term,347842,182913,18034,719,0
746,Rent,414447,7 years,0,6,11,174548,1,,0,buy a car,Short Term,139612,99180,8323,733,1
747,Have Mortgage,1112640,2 years,0,12,22,95150,0,12,0,take a trip,Short Term,53680,4769,11497,741,0
748,Rent,539714,5 years,0,6,31,62480,0,24,0,debt consolidation,Short Term,86196,43377,4151,728,1
749,Rent,,5 years,0,16,12.9,390896,0,,0,debt consolidation,Short Term,194436,193781,16543,,0
750,Home Mortgage,812041,10+ years,0,7,16.7,268862,0,,0,debt consolidation,Long Term,335808,89642,2396,693,0
751,Rent,675716,5 years,0,14,41.3,188342,0,13,0,debt consolidation,Long Term,315744,150784,9285,648,1
752,Rent,,4 years,0,5,9.6,219252,0,,0,debt consolidation,Short Term,265826,172311,7477,,1
753,Home Mortgage,1225006,3 years,0,12,15.7,802582,0,,0,debt consolidation,Long Term,521532,464398,26746,7050,1
754,Home Mortgage,2325828,2 years,0,12,17.6,403502,3,,3,debt consolidation,Short Term,336644,88521,12269,735,1
755,Home Mortgage,1128258,1 year,0,8,10.8,341924,0,,0,debt consolidation,Short Term,119746,285570,29429,732,1
756,Rent,1224455,2 years,0,9,22,1012286,0,,0,debt consolidation,Short Term,278168,450243,18367,746,1
757,Rent,,4 years,0,8,11,526350,1,66,1,debt consolidation,Short Term,331320,90915,4829,,0
758,Rent,,10+ years,0,11,20.4,866844,0,15,0,debt consolidation,Long Term,551980,459667,30626,,0
759,Home Mortgage,893855,3 years,0,9,23,716166,0,33,0,debt consolidation,Short Term,194062,263473,16909,736,0
760,Own Home,,10+ years,0,14,26.6,938278,0,26,0,medical bills,Short Term,153252,100472,20800,,0
761,Rent,628748,9 years,0,11,12.6,392348,0,76,0,debt consolidation,Long Term,286726,197543,19596,693,1
762,Rent,576954,1 year,0,9,25.7,999790,0,,0,debt consolidation,Short Term,224356,259027,17741,738,0
763,Home Mortgage,1516200,2 years,0,8,13.4,443366,0,,0,debt consolidation,Short Term,219450,274170,21227,7380,1
764,Rent,1976988,2 years,0,7,18.7,596882,0,,0,debt consolidation,Short Term,660330,406714,13608,733,0
765,Rent,660022,1 year,0,17,26.5,161590,0,48,0,debt consolidation,Short Term,262020,115121,8635,698,1
766,Rent,1452246,10+ years,0,18,34,533478,1,35,1,other,Short Term,281578,206416,23720,716,0
767,Home Mortgage,874418,1 year,0,4,9.3,357874,0,,0,debt consolidation,Short Term,224994,232427,13408,7120,1
768,Rent,950285,2 years,0,9,12,490710,0,,0,debt consolidation,Short Term,121044,137731,14809,748,0
769,Rent,859959,1 year,0,4,21,561748,0,,0,debt consolidation,Long Term,437030,227050,6787,657,0
770,Home Mortgage,2271241,6 years,0,16,37.5,757350,0,,0,debt consolidation,Short Term,539462,590634,43911,734,0
771,Rent,775276,< 1 year,0,7,34,181764,0,16,0,debt consolidation,Short Term,224422,124013,20609,739,1
772,Home Mortgage,,10+ years,0,8,16.9,694562,0,,0,debt consolidation,Long Term,492118,448077,16048,,1
773,Home Mortgage,610679,1 year,0,16,20,294030,0,9,0,home improvements,Short Term,145838,115292,9160,738,1
774,Home Mortgage,794276,8 years,0,6,18.4,684002,0,,0,debt consolidation,Short Term,99999999,219165,4918,748,0
775,Home Mortgage,1606279,2 years,0,9,16.6,477158,0,33,0,debt consolidation,Short Term,262570,257963,25031,742,0
776,Home Mortgage,868509,10+ years,0,19,31.3,857912,0,17,0,home improvements,Short Term,134090,253384,24246,726,0
777,Home Mortgage,561165,7 years,0,9,20.3,237094,1,,1,debt consolidation,Short Term,108306,126749,4620,725,0
778,Home Mortgage,653695,5 years,0,6,17.5,157608,1,,1,debt consolidation,Short Term,108130,29260,1193,745,0
779,Home Mortgage,1014144,10+ years,0,6,18.6,322608,0,19,0,debt consolidation,Long Term,99999999,268033,19100,651,0
780,Home Mortgage,867749,10+ years,0,2,16.5,0,0,66,0,home improvements,Short Term,75350,0,0,704,0
781,Home Mortgage,2817852,6 years,0,9,19,1094302,0,,0,debt consolidation,Long Term,348722,787246,30057,715,0
782,Own Home,1654729,10+ years,0,11,13.9,628980,0,,0,debt consolidation,Long Term,99999999,362881,18202,724,0
783,Home Mortgage,1783663,10+ years,0,10,17.4,762168,0,60,0,small business,Long Term,296318,215232,28241,6840,1
784,Home Mortgage,1821283,3 years,0,14,18.6,1378080,0,,0,other,Long Term,669834,403465,20489,712,1
785,Rent,1266179,10+ years,0,12,17.5,1067044,0,32,0,debt consolidation,Short Term,547096,510530,24817,709,0
786,Rent,,1 year,0,4,24.6,804386,0,25,0,debt consolidation,Long Term,392942,86146,1243,,0
787,Own Home,,2 years,0,11,8.8,532158,0,16,0,debt consolidation,Short Term,181742,179246,11273,,0
788,Home Mortgage,,6 years,0,12,12.7,343464,0,29,0,debt consolidation,Short Term,219098,106495,11910,,1
789,Rent,1298973,10+ years,0,10,17.1,199210,1,,1,debt consolidation,Short Term,221188,116470,20242,729,0
790,Rent,960260,6 years,0,8,16.6,255838,1,42,1,debt consolidation,Short Term,175670,140087,9603,716,0
791,Home Mortgage,1300664,10+ years,0,10,15.8,1021064,0,53,0,debt consolidation,Long Term,99999999,436506,10600,715,0
792,Home Mortgage,,10+ years,0,13,14.9,1219570,0,12,0,debt consolidation,Short Term,128414,412870,8685,,0
793,Home Mortgage,,,0,12,45.6,319968,0,8,0,debt consolidation,Short Term,152394,81244,19426,,1
794,Home Mortgage,1228464,7 years,0,9,14.1,553674,0,,0,debt consolidation,Short Term,545446,299820,34294,737,0
795,Rent,1011731,9 years,0,9,11.4,574552,0,,0,debt consolidation,Long Term,517396,383553,24788,675,0
796,Rent,1615608,6 years,0,11,18.5,1071378,0,,0,debt consolidation,Long Term,464904,469129,25177,700,0
797,Home Mortgage,1080948,5 years,0,13,15.7,930314,0,,0,wedding,Short Term,153714,487692,20466,707,0
798,Own Home,,10+ years,0,12,16.1,1241350,0,,0,debt consolidation,Long Term,259886,707560,31963,,0
799,Home Mortgage,,7 years,0,13,9.7,1183842,0,1,0,debt consolidation,Short Term,341726,223896,25082,,1
800,Home Mortgage,,7 years,0,15,24.5,1126708,0,,0,debt consolidation,Short Term,519024,871872,38328,,0
801,Home Mortgage,1376474,9 years,0,5,10.6,327822,0,,0,debt consolidation,Short Term,199232,219127,4783,738,0
802,Home Mortgage,1181895,3 years,0,14,39.6,372152,1,,1,debt consolidation,Short Term,220726,186409,21077,738,0
803,Rent,,10+ years,0,6,10.5,60808,1,45,0,other,Short Term,91146,21793,8997,,0
804,Home Mortgage,,8 years,0,11,10.8,479204,0,,0,debt consolidation,Long Term,311564,390260,15708,,1
805,Rent,,2 years,0,7,15.7,580822,0,,0,debt consolidation,Short Term,167684,147972,10676,,0
806,Home Mortgage,1130310,3 years,0,12,22.6,547514,1,,1,debt consolidation,Long Term,463518,326268,15937,698,0
807,Home Mortgage,1505864,10+ years,0,6,20.3,146124,0,33,0,debt consolidation,Long Term,348722,101080,10641,691,0
808,Rent,582065,3 years,0,11,11,868230,0,60,0,debt consolidation,Long Term,302434,449901,9701,706,0
809,Own Home,,10+ years,0,12,20.6,887150,0,,0,debt consolidation,Short Term,434632,359328,24962,,0
810,Rent,478363,1 year,0,5,11.4,260744,0,,0,debt consolidation,Short Term,133694,146148,8810,744,0
811,Home Mortgage,1458877,10+ years,0,12,21,264462,1,1,1,debt consolidation,Short Term,216568,87476,10236,719,0
812,Rent,,< 1 year,0,20,13.9,2074204,0,,0,debt consolidation,Short Term,390896,711170,19856,,1
813,Home Mortgage,1047242,1 year,0,7,9.7,415228,0,,0,debt consolidation,Short Term,247016,242421,12741,748,0
814,Home Mortgage,,2 years,0,18,14.2,2541088,0,,0,debt consolidation,Short Term,470690,1768824,40954,,1
815,Home Mortgage,,2 years,0,13,11,318384,1,,0,debt consolidation,Short Term,129712,110808,13257,,0
816,Home Mortgage,2813140,< 1 year,0,20,17.8,1264340,0,,0,debt consolidation,Short Term,561616,310099,32820,748,0
817,Home Mortgage,,7 years,0,6,14,280016,1,,1,debt consolidation,Short Term,109406,98914,2777,,0
818,Rent,866115,7 years,0,16,14.6,561726,0,,0,debt consolidation,Long Term,353232,326496,20642,6950,1
819,Home Mortgage,1968153,10+ years,0,6,24.5,930644,0,36,0,debt consolidation,Short Term,442508,338371,16893,742,0
820,Home Mortgage,1227476,10+ years,0,12,14.7,696872,0,,0,debt consolidation,Long Term,508926,523602,22299,7180,1
821,Home Mortgage,1268155,7 years,0,14,37.5,800008,0,76,0,debt consolidation,Short Term,438328,411084,16909,743,0
822,Rent,1423575,10+ years,1,7,32.1,345268,1,37,0,debt consolidation,Long Term,672408,175636,7011,703,1
823,Own Home,,,0,16,34.8,852258,1,,1,debt consolidation,Short Term,265848,305463,9417,,0
824,Own Home,1096680,9 years,0,14,25.9,1348446,0,,0,debt consolidation,Long Term,449504,347035,26229,745,0
825,Home Mortgage,1546239,10+ years,0,11,15.7,590832,0,,0,debt consolidation,Short Term,200574,417411,11378,665,0
826,Rent,1134300,5 years,0,13,12.5,429110,0,,0,debt consolidation,Long Term,328350,311676,24482,726,1
827,Home Mortgage,,5 years,0,13,23.4,214698,0,,0,debt consolidation,Long Term,546876,141094,24643,,1
828,Rent,1318828,2 years,0,10,13.6,305580,0,,0,take a trip,Long Term,99999999,52250,11199,685,0
829,Rent,,< 1 year,0,10,11.1,1037938,0,,0,debt consolidation,Short Term,417450,493924,25055,,0
830,Rent,486400,< 1 year,0,5,10,184008,0,,0,debt consolidation,Short Term,99999999,106001,3518,728,0
831,Home Mortgage,1445520,5 years,0,11,15.3,975128,0,,0,debt consolidation,Long Term,446336,397499,16623,732,0
832,Rent,1410180,10+ years,0,11,16,594506,0,10,0,other,Long Term,544280,414865,23973,631,0
833,Rent,734844,4 years,0,7,11.8,188100,0,,0,debt consolidation,Short Term,286616,151392,13827,738,1
834,Home Mortgage,2139989,1 year,0,8,18.8,299926,1,,1,debt consolidation,Short Term,99999999,152836,9684,723,0
835,Home Mortgage,1728715,6 years,0,15,17.1,1145694,0,32,0,debt consolidation,Short Term,215930,300808,7722,743,0
836,Own Home,811490,7 years,0,14,21.8,679712,0,26,0,debt consolidation,Short Term,99999999,283537,18664,745,0
837,Home Mortgage,5131482,2 years,0,16,20.7,4860504,0,16,0,debt consolidation,Short Term,756228,2833451,44473,737,0
838,Home Mortgage,1311380,4 years,0,7,27.1,550902,0,,0,debt consolidation,Long Term,364430,452485,36719,717,0
839,Rent,923951,5 years,0,10,13.5,557348,0,30,0,debt consolidation,Short Term,334334,234897,12396,734,1
840,Rent,932615,< 1 year,0,21,9.3,367356,0,,0,debt consolidation,Long Term,259160,273790,20051,7300,1
841,Rent,1122387,5 years,0,9,22.9,425744,0,,0,debt consolidation,Short Term,336116,277970,7913,718,0
842,Home Mortgage,,6 years,0,12,14.8,1633742,0,39,0,debt consolidation,Short Term,224488,421876,49115,,0
843,Own Home,969095,4 years,0,25,11.4,628694,0,8,0,debt consolidation,Short Term,224422,38000,21724,719,0
844,Home Mortgage,845861,10+ years,0,7,28.3,335390,1,,1,debt consolidation,Short Term,255992,21717,1924,738,0
845,Rent,,2 years,0,8,24.4,251130,2,56,2,debt consolidation,Long Term,266288,31445,12443,,0
846,Home Mortgage,1549944,3 years,0,12,16.2,785158,0,43,0,debt consolidation,Short Term,201718,563502,26220,722,0
847,Home Mortgage,1006506,< 1 year,0,12,11.9,464024,0,,0,debt consolidation,Long Term,431640,310175,28685,7080,1
848,Rent,1693565,4 years,0,13,20.8,1709048,0,17,0,debt consolidation,Short Term,99999999,842802,41210,746,0
849,Home Mortgage,,4 years,0,14,15.4,181214,1,,1,debt consolidation,Short Term,78826,88426,7164,,0
850,Home Mortgage,1194131,10+ years,0,14,25.3,541684,0,65,0,debt consolidation,Short Term,267608,373787,19504,732,0
851,Rent,,4 years,0,9,10,786302,0,,0,debt consolidation,Short Term,156552,133779,23942,,0
852,Home Mortgage,1252784,2 years,0,12,22.5,559438,0,33,0,debt consolidation,Short Term,290114,192774,24221,745,0
853,Home Mortgage,,10+ years,0,12,9.8,821458,0,3,0,debt consolidation,Long Term,240306,343368,23719,,0
854,Rent,1001281,2 years,0,6,31.2,682110,0,33,0,debt consolidation,Short Term,128810,484253,13267,7220,1
855,Home Mortgage,1407976,10+ years,0,12,25.7,1156034,0,,0,other,Short Term,75086,770754,18233,746,0
856,Home Mortgage,1019749,< 1 year,0,19,15.5,203588,0,21,0,debt consolidation,Short Term,99999999,47481,7597,738,0
857,Home Mortgage,1854419,2 years,0,16,17.1,917774,0,,0,debt consolidation,Short Term,774774,199747,29053,743,1
858,Home Mortgage,929955,< 1 year,0,6,9,256410,0,40,0,debt consolidation,Long Term,429638,175826,8370,710,0
859,Home Mortgage,1936290,1 year,0,14,24.9,777524,0,,0,debt consolidation,Long Term,627770,402895,38080,708,0
860,Rent,3926046,3 years,0,8,13,349492,0,18,0,debt consolidation,Short Term,470272,280098,18093,742,0
861,Home Mortgage,701803,10+ years,0,9,22.5,355718,1,58,1,debt consolidation,Short Term,219626,191710,15674,743,0
862,Rent,1791472,4 years,0,6,9.8,181192,0,80,0,other,Short Term,148478,97793,7674,7040,1
863,Own Home,1160862,1 year,0,8,12.5,571098,0,,0,debt consolidation,Short Term,537658,407892,15575,739,0
864,Home Mortgage,1260840,8 years,0,8,11.5,254210,0,,0,debt consolidation,Short Term,271568,148846,10475,743,0
865,Rent,1219933,10+ years,0,12,19.3,1382282,0,,0,debt consolidation,Long Term,543290,790286,31413,735,1
866,Home Mortgage,,,0,7,17.5,312818,0,26,0,debt consolidation,Short Term,368016,195871,13860,,0
867,Home Mortgage,1312577,5 years,0,11,11.4,730730,0,,0,debt consolidation,Short Term,587004,321214,21986,723,0
868,Home Mortgage,1343300,10+ years,0,19,32.6,811646,0,6,0,other,Short Term,177760,188556,18918,693,1
869,Home Mortgage,,6 years,0,6,10.8,400180,0,,0,debt consolidation,Short Term,602316,284791,26567,,0
870,Home Mortgage,307743,,0,4,13.2,276034,0,48,0,debt consolidation,Short Term,140162,163058,5693,718,0
871,Rent,524761,1 year,0,8,18.8,546766,0,,0,debt consolidation,Short Term,218636,339530,8090,6900,1
872,Home Mortgage,787873,2 years,0,23,22.4,1794518,0,,0,debt consolidation,Short Term,99999999,158080,12343,750,0
873,Rent,700758,3 years,0,13,25,1432090,0,,0,debt consolidation,Short Term,99999999,259730,14482,751,0
874,Own Home,831307,8 years,0,12,20.8,684090,0,,0,debt consolidation,Short Term,428120,241642,13855,743,0
875,Rent,,2 years,0,14,12.9,745954,0,,0,debt consolidation,Long Term,351186,417449,31373,,0
876,Home Mortgage,,10+ years,0,6,16.2,358204,0,13,0,debt consolidation,Short Term,315458,198911,9029,,0
877,Home Mortgage,1004644,10+ years,0,9,28,335016,0,54,0,debt consolidation,Short Term,324104,252016,23860,742,0
878,Home Mortgage,773262,10+ years,0,19,16.7,1116808,0,,0,debt consolidation,Short Term,106128,117667,14821,750,0
879,Home Mortgage,1686877,3 years,0,11,25.7,677160,0,19,0,debt consolidation,Long Term,521048,480130,41188,709,0
880,Home Mortgage,,10+ years,0,12,44.7,1632422,0,,0,debt consolidation,Short Term,265826,1213872,54508,,0
881,Rent,1690335,9 years,0,20,46.4,1128468,1,,1,debt consolidation,Short Term,479512,534071,15776,720,0
882,Own Home,973180,9 years,0,8,18.4,223322,1,78,1,debt consolidation,Short Term,247896,163951,6350,738,0
883,Rent,813637,< 1 year,0,9,9.9,473902,0,,0,other,Short Term,99999999,83486,9282,738,0
884,Rent,2060816,< 1 year,0,11,12.5,421784,0,26,0,debt consolidation,Short Term,419804,246981,17860,742,0
885,Home Mortgage,,10+ years,0,20,16.5,1141998,0,,0,debt consolidation,Short Term,276100,755478,27988,,1
886,Rent,1631644,1 year,1,16,23.3,633072,2,48,1,debt consolidation,Short Term,333410,246582,22435,738,0
887,Home Mortgage,1250694,10+ years,0,14,33,903188,0,30,0,debt consolidation,Short Term,334202,140410,7254,742,0
888,Own Home,1588191,5 years,0,7,18,311454,0,,0,debt consolidation,Long Term,259622,158156,21043,723,1
889,Own Home,778696,8 years,0,4,14.7,205018,0,,0,debt consolidation,Short Term,135256,97204,13368,747,1
890,Own Home,753920,2 years,0,11,18.9,338668,0,,0,debt consolidation,Short Term,99999999,272593,14576,736,0
891,Rent,1605956,10+ years,0,6,22,1089880,0,,0,debt consolidation,Short Term,765688,843372,33725,723,1
892,Home Mortgage,1804810,4 years,0,12,31.8,586256,0,,0,home improvements,Short Term,99999999,360506,16845,736,0
893,Home Mortgage,855000,5 years,0,19,10.8,312312,0,,0,debt consolidation,Long Term,308000,127851,24011,723,1
894,Rent,948765,,0,7,13.5,123090,0,30,0,debt consolidation,Long Term,237292,64638,18896,692,0
895,Home Mortgage,1551160,1 year,0,16,21.6,399696,0,33,0,debt consolidation,Long Term,471482,314811,22621,696,0
896,Home Mortgage,875140,7 years,0,5,21.5,138270,0,,0,debt consolidation,Short Term,321068,15523,14731,749,0
897,Home Mortgage,2094389,10+ years,0,10,18.3,667546,0,7,0,debt consolidation,Short Term,99999999,397214,27576,745,0
898,Rent,739005,2 years,0,20,18.3,2177758,0,0,,debt consolidation,Short Term,456808,607487,9669,732,1
899,Home Mortgage,2150990,10+ years,0,13,17.5,413204,0,,0,debt consolidation,Short Term,177892,136325,27066,744,1
900,Home Mortgage,,10+ years,0,7,22.1,161172,0,9,0,home improvements,Short Term,91520,124716,9331,,1
901,Home Mortgage,3708420,10+ years,0,20,41.2,3450832,0,,0,debt consolidation,Short Term,429396,342741,29235,751,0
902,Home Mortgage,1529956,1 year,0,14,19,850674,0,,0,debt consolidation,Short Term,432080,543666,21929,740,0
903,Home Mortgage,1068408,10+ years,0,7,11.8,615714,0,49,0,debt consolidation,Short Term,224928,186124,3553,745,0
904,Home Mortgage,1137492,5 years,0,17,12.9,92136,0,14,0,medical bills,Short Term,99999999,41610,24456,702,0
905,Rent,1133388,10+ years,0,15,24.9,609928,0,13,0,debt consolidation,Long Term,218724,240730,19173,680,1
906,Home Mortgage,1206101,7 years,0,14,36.5,582582,0,,0,debt consolidation,Long Term,352902,287793,22614,6320,1
907,Rent,1448807,6 years,0,14,16,382712,0,17,0,debt consolidation,Short Term,217866,218804,21491,6990,1
908,Own Home,1012054,10+ years,0,17,19.8,460218,1,,1,home improvements,Short Term,151910,86241,21084,722,1
909,Home Mortgage,,9 years,0,7,9.1,146256,0,37,0,debt consolidation,Short Term,214962,27664,15718,,0
910,Own Home,1013479,4 years,0,13,24.2,848584,0,,0,debt consolidation,Long Term,420508,260167,24661,611,0
911,Home Mortgage,1114350,8 years,0,9,8.4,705408,0,,0,debt consolidation,Short Term,572044,568385,24794,6760,1
912,Home Mortgage,2304396,1 year,0,11,20.1,1286186,0,75,0,debt consolidation,Long Term,444708,299915,28805,740,1
913,Rent,748847,6 years,0,11,18.6,496584,0,,0,debt consolidation,Short Term,231044,171114,12855,727,0
914,Own Home,660212,1 year,0,10,28.1,705694,0,,0,debt consolidation,Short Term,91190,25593,4941,748,0
915,Home Mortgage,,,0,10,13,266442,1,12,1,debt consolidation,Short Term,66044,96653,3971,,0
916,Rent,1626476,2 years,0,20,21.7,691878,0,9,0,debt consolidation,Short Term,155100,308313,33478,744,0
917,Home Mortgage,2116714,10+ years,0,6,24.6,146652,0,29,0,debt consolidation,Short Term,328262,87647,2187,743,0
918,Rent,1144560,6 years,0,29,16.6,852918,0,1,0,debt consolidation,Short Term,552200,449331,31571,727,1
919,Home Mortgage,,7 years,0,8,31,662596,0,37,0,debt consolidation,Short Term,368346,330752,14574,,0
920,Home Mortgage,957087,6 years,0,17,12.6,590546,0,61,0,debt consolidation,Long Term,347666,179018,18663,725,1
921,Home Mortgage,1015531,,0,8,27.3,1357356,0,,0,debt consolidation,Long Term,99999999,638875,12186,743,0
922,Rent,823878,8 years,0,5,9.5,374946,0,,0,debt consolidation,Short Term,99999999,202388,11672,737,0
923,Home Mortgage,943578,9 years,0,14,26.1,926486,0,36,0,debt consolidation,Long Term,490534,169632,7816,743,0
924,Rent,4757885,< 1 year,0,3,33.5,764654,0,68,0,buy house,Short Term,161898,244340,13044,744,0
925,Own Home,1991998,4 years,0,10,22.5,1611632,0,,0,debt consolidation,Short Term,776248,974301,34113,687,0
926,Home Mortgage,867445,8 years,0,16,11.4,991584,0,17,0,debt consolidation,Short Term,404272,292885,12650,745,1
927,Home Mortgage,4473816,10+ years,0,8,32.5,2668710,0,,0,buy a car,Short Term,259006,1500430,60807,751,0
928,Home Mortgage,1316700,10+ years,0,13,11.8,332948,0,,0,debt consolidation,Long Term,261360,158156,13825,706,0
929,Own Home,581229,< 1 year,0,17,10.4,581042,0,,0,debt consolidation,Short Term,224334,386403,13126,7170,1
930,Own Home,825341,10+ years,0,9,16.7,466180,1,,1,debt consolidation,Short Term,202246,151791,13962,713,0
931,Home Mortgage,638381,9 years,0,5,17.6,187088,0,79,0,debt consolidation,Short Term,99999999,105355,7129,722,0
932,Rent,865868,< 1 year,0,17,8.5,227084,0,38,0,debt consolidation,Short Term,155958,123956,13565,728,0
933,Home Mortgage,971185,6 years,0,24,14.4,544434,0,12,0,debt consolidation,Short Term,99999999,288230,21366,727,0
934,Home Mortgage,,10+ years,0,13,20.7,1056440,0,,0,other,Short Term,87098,852169,49126,,0
935,Home Mortgage,2632127,10+ years,0,11,29.8,471064,0,7,0,home improvements,Long Term,345840,373046,12810,726,1
936,Home Mortgage,2293908,3 years,0,11,18.6,1432684,0,36,0,other,Short Term,265606,629793,19059,714,0
937,Home Mortgage,1778400,2 years,0,10,33.5,231704,0,3,0,home improvements,Short Term,160886,167485,28603,746,0
938,Rent,959994,10+ years,0,13,11.7,329340,0,,0,debt consolidation,Short Term,99999999,180044,13280,735,0
939,Rent,883918,9 years,0,3,15.1,215380,0,,0,other,Short Term,107756,37753,2792,7040,1
940,Own Home,1091436,7 years,0,28,16.7,1740244,0,,0,debt consolidation,Long Term,232518,151791,11915,737,0
941,Home Mortgage,677331,3 years,0,10,11.5,277090,0,,0,debt consolidation,Short Term,202796,190000,8918,731,0
942,Home Mortgage,2343726,1 year,0,9,15.6,552926,0,22,0,home improvements,Short Term,778558,10032,1269,722,0
943,Home Mortgage,1587868,1 year,0,9,11,315436,0,,0,debt consolidation,Short Term,99999999,149568,10043,741,0
944,Home Mortgage,837615,8 years,0,13,18.1,186560,0,12,0,debt consolidation,Short Term,87780,148067,6841,722,0
945,Rent,2519894,3 years,0,5,10.9,410278,0,2,0,other,Long Term,448888,37924,6489,649,1
946,Home Mortgage,1104185,10+ years,0,10,20,1023440,0,,0,debt consolidation,Long Term,441232,811414,21844,693,0
947,Rent,875406,7 years,0,9,11.2,726440,0,80,0,debt consolidation,Short Term,446424,365769,21010,732,0
948,Home Mortgage,1496288,7 years,0,15,16.3,1525062,0,44,0,debt consolidation,Long Term,541420,504450,26310,728,0
949,Rent,,3 years,0,20,9.4,441716,0,6,0,debt consolidation,Short Term,334730,263606,25679,,0
950,Home Mortgage,,4 years,0,16,25.5,901384,0,,0,debt consolidation,Short Term,306394,276355,35865,,0
951,Home Mortgage,1319094,10+ years,0,12,20.3,1459194,0,,0,debt consolidation,Long Term,536756,945155,26162,719,1
952,Rent,,10+ years,0,10,19.1,829070,0,4,0,other,Short Term,112552,163970,20027,,0
953,Home Mortgage,1319645,8 years,0,26,20.2,1124156,0,35,0,debt consolidation,Short Term,99999999,501923,28373,746,0
954,Home Mortgage,1304464,10+ years,0,21,28.5,1017940,0,29,0,debt consolidation,Short Term,186318,711227,32720,741,0
955,Rent,1002706,4 years,1,8,13.3,92422,2,,1,debt consolidation,Short Term,175230,24263,14874,730,0
956,Home Mortgage,1592010,7 years,0,9,19.7,609642,0,,0,debt consolidation,Short Term,99999999,323266,20431,740,0
957,Rent,,9 years,0,18,15,660440,0,,0,debt consolidation,Short Term,346236,399836,23890,,1
958,Rent,1390154,10+ years,0,2,15.7,51700,0,,0,other,Short Term,178860,1425,6117,731,0
959,Rent,873050,,0,7,17.2,213356,0,,0,other,Short Term,112332,175978,15787,699,0
960,Home Mortgage,1760559,3 years,0,8,23.8,365046,0,14,0,debt consolidation,Short Term,151470,87324,12881,744,0
961,Rent,1222897,< 1 year,0,9,12.9,396748,0,,0,debt consolidation,Short Term,217844,182970,28636,738,0
962,Home Mortgage,1128885,6 years,0,12,11.8,591096,0,,0,debt consolidation,Short Term,222112,233301,17121,749,0
963,Rent,,< 1 year,0,5,11.9,428516,0,,0,debt consolidation,Short Term,146168,126578,7031,,0
964,Rent,809571,2 years,0,4,14.2,247126,0,,0,other,Short Term,100430,32661,5606,728,0
965,Rent,421762,5 years,0,4,11.4,90970,0,,0,other,Short Term,110990,41724,3655,697,0
966,Rent,3694664,8 years,0,7,10.3,226974,0,4,0,buy a car,Short Term,159896,165433,4187,732,0
967,Rent,,10+ years,0,30,19.2,647900,0,47,0,debt consolidation,Long Term,310618,507509,36579,,1
968,Home Mortgage,2038092,10+ years,0,12,15.2,322190,1,,1,debt consolidation,Short Term,529320,107958,17324,729,0
969,Rent,1282956,10+ years,0,8,17,607508,0,39,0,debt consolidation,Long Term,436920,340518,11440,713,1
970,Home Mortgage,2396375,6 years,0,9,10.5,335280,1,8,1,debt consolidation,Short Term,621544,139859,33350,7130,1
971,Own Home,,3 years,0,21,22.6,1707816,0,27,0,buy a car,Short Term,213972,376105,11798,,0
972,Home Mortgage,1252917,8 years,0,10,16,269654,0,33,0,debt consolidation,Short Term,214258,71022,19525,738,0
973,Own Home,551874,2 years,0,8,18.1,236940,0,63,0,home improvements,Short Term,99999999,135261,7312,712,0
974,Rent,4189500,2 years,0,24,22.9,2602292,0,,0,debt consolidation,Short Term,99999999,1685585,81346,747,0
975,Rent,,6 years,0,11,11.5,518320,0,,0,debt consolidation,Short Term,269588,163837,18551,,0
976,Rent,1566949,6 years,0,7,18,928972,0,,0,debt consolidation,Short Term,259204,470953,21676,750,0
977,Home Mortgage,557631,7 years,0,12,16.5,398046,0,81,0,other,Short Term,216304,141284,9201,710,0
978,Own Home,579348,10+ years,0,7,40.4,389598,0,27,0,debt consolidation,Short Term,227216,287337,8642,710,0
979,Home Mortgage,1020547,1 year,0,7,10.2,108020,0,37,0,debt consolidation,Short Term,180070,82289,6506,705,0
980,Own Home,391020,10+ years,0,2,21.2,230670,0,59,0,debt consolidation,Long Term,85162,79496,4595,7270,1
981,Home Mortgage,1165992,7 years,0,9,23.1,623524,0,,0,debt consolidation,Long Term,647482,438881,26040,716,0
982,Home Mortgage,843638,10+ years,0,13,25.1,745932,0,80,0,debt consolidation,Short Term,99999999,152684,21723,739,0
983,Rent,,7 years,0,11,17.5,204930,0,,0,debt consolidation,Short Term,107844,115558,15960,,0
984,Rent,1168975,2 years,0,14,18.9,397386,0,,0,debt consolidation,Long Term,271260,207632,21723,625,1
